,county,sub-county,Age,Male,Female,Total
32798,NAIROBI,NJIRU,72,188,141,329
32799,NAIROBI,NJIRU,73,116,130,246
32800,NAIROBI,NJIRU,74,102,114,216
32801,NAIROBI,NJIRU,70-74,876,897,1773
32802,NAIROBI,NJIRU,75,76,103,179
32803,NAIROBI,NJIRU,76,92,115,207
32804,NAIROBI,NJIRU,77,67,76,143
32805,NAIROBI,NJIRU,78,42,40,82
32806,NAIROBI,NJIRU,79,45,70,115
32807,NAIROBI,NJIRU,75-79,322,404,726
32808,NAIROBI,NJIRU,80,41,98,139
32809,NAIROBI,NJIRU,81,18,48,66
32810,NAIROBI,NJIRU,82,33,39,72
32811,NAIROBI,NJIRU,83,24,51,75
32812,NAIROBI,NJIRU,84,18,55,73
32813,NAIROBI,NJIRU,80-84,134,291,425
32814,NAIROBI,NJIRU,85,19,26,45
32815,NAIROBI,NJIRU,86,17,37,54
32816,NAIROBI,NJIRU,87,14,27,41
32817,NAIROBI,NJIRU,88,11,13,24
32818,NAIROBI,NJIRU,89,11,48,59
32819,NAIROBI,NJIRU,85-89,72,151,223
32820,NAIROBI,NJIRU,90,4,28,32
32821,NAIROBI,NJIRU,91,7,23,30
32822,NAIROBI,NJIRU,92,3,13,16
32823,NAIROBI,NJIRU,93,5,10,15
32824,NAIROBI,NJIRU,94,4,8,12
32825,NAIROBI,NJIRU,90-94,23,82,105
32826,NAIROBI,NJIRU,95,6,13,19
32827,NAIROBI,NJIRU,96,3,10,13
32828,NAIROBI,NJIRU,97,2,9,11
32829,NAIROBI,NJIRU,98,2,7,9
32830,NAIROBI,NJIRU,99,2,12,14
32831,NAIROBI,NJIRU,95-99,15,51,66
32832,NAIROBI,NJIRU,100+,1,27,28
32833,NAIROBI,NJIRU,Not Stated,11,12,23
32834,NAIROBI,STAREHE,Total,109173,101238,210411
32835,NAIROBI,STAREHE,0,2213,2128,4341
32836,NAIROBI,STAREHE,1,2174,2105,4279
32837,NAIROBI,STAREHE,2,2077,2068,4145
32838,NAIROBI,STAREHE,3,2016,1940,3956
32839,NAIROBI,STAREHE,4,1787,1794,3581
32840,NAIROBI,STAREHE,0 - 4,10267,10035,20302
32841,NAIROBI,STAREHE,5,1857,1750,3607
32842,NAIROBI,STAREHE,6,1724,1757,3481
32843,NAIROBI,STAREHE,7,1707,1657,3364
32844,NAIROBI,STAREHE,8,1637,1620,3257
32845,NAIROBI,STAREHE,9,1666,1804,3470
32846,NAIROBI,STAREHE,5-9,8591,8588,17179
32847,NAIROBI,STAREHE,10,1710,1661,3371
32848,NAIROBI,STAREHE,11,1488,1588,3076
